"MW"	1901	1	-28.8809162945136
"MW"	1901	2	-24.7631966069818
"MW"	1901	3	-22.4029387034585
"MW"	1901	4	-8.67771924851737
"MW"	1901	5	-1.94964143470874
"MW"	1901	6	3.68312827029509
"MW"	1901	7	6.34541411649999
"MW"	1901	8	5.60870207999475
"MW"	1901	9	1.02313119523256
"MW"	1901	10	-4.57055387907587
"MW"	1901	11	-13.0191192033658
"MW"	1901	12	-22.1090954272319
"MW"	1902	1	-28.6709306856719
"MW"	1902	2	-24.4036333385223
"MW"	1902	3	-15.6751047229186
"MW"	1902	4	-9.37423514807955
"MW"	1902	5	-4.08770421152098
"MW"	1902	6	1.73898019951822
"MW"	1902	7	6.10776657710632
"MW"	1902	8	5.36725058077503
"MW"	1902	9	2.92930114476876
"MW"	1902	10	-5.13335268188327
"MW"	1902	11	-12.3062939566736
"MW"	1902	12	-25.7965124176928
"MW"	1903	1	-26.7609067280199
"MW"	1903	2	-26.4444584715897
"MW"	1903	3	-16.1471538436299
"MW"	1903	4	-10.7709936020651
"MW"	1903	5	-3.4258178001302
"MW"	1903	6	3.79481335068188
"MW"	1903	7	6.77025107816213
"MW"	1903	8	5.12584599989419
"MW"	1903	9	1.73550862343442
"MW"	1903	10	-3.49605193059631
"MW"	1903	11	-12.8934175420422
"MW"	1903	12	-26.3840637091949
"MW"	1904	1	-30.9508350008685
"MW"	1904	2	-31.1863278190763
"MW"	1904	3	-21.6194541183371
"MW"	1904	4	-10.3683225930211
"MW"	1904	5	-1.66389891595965
"MW"	1904	6	3.35072132742734
"MW"	1904	7	7.23310111013791
"MW"	1904	8	6.78459434762605
"MW"	1904	9	-0.358321843348034
"MW"	1904	10	-4.65846543384385
"MW"	1904	11	-13.6804517060047
"MW"	1904	12	-26.8716510116328
"MW"	1905	1	-33.4408022925205
"MW"	1905	2	-28.6299676098009
"MW"	1905	3	-23.9928099072554
"MW"	1905	4	-9.86655430600962
"MW"	1905	5	-3.00178908452708
"MW"	1905	6	3.00678491298703
"MW"	1905	7	7.196612169496
"MW"	1905	8	4.74365768445241
"MW"	1905	9	2.1477315554661
"MW"	1905	10	-4.22040443975958
"MW"	1905	11	-13.0673132005479
"MW"	1905	12	-22.058842402856
"MW"	1906	1	-26.2306440611989
"MW"	1906	2	-26.7758046558695
"MW"	1906	3	-22.96796612188
"MW"	1906	4	-11.166039473274
"MW"	1906	5	-3.83938234898639
"MW"	1906	6	2.96307336238512
"MW"	1906	7	6.76109210420056
"MW"	1906	8	5.90316688077126
"MW"	1906	9	1.05372948161273
"MW"	1906	10	-3.68162603939176
"MW"	1906	11	-12.0538112063658
"MW"	1906	12	-27.0449179246961
"MW"	1907	1	-28.9198053437226
"MW"	1907	2	-27.3241134230295
"MW"	1907	3	-22.0453288076637
"MW"	1907	4	-11.2671696271814
"MW"	1907	5	-4.07653653496919
"MW"	1907	6	3.51968175359114
"MW"	1907	7	7.72686349133669
"MW"	1907	8	6.36332875663918
"MW"	1907	9	1.55973442580041
"MW"	1907	10	-4.54185578743298
"MW"	1907	11	-11.9397010285467
"MW"	1907	12	-20.5291457271034
"MW"	1908	1	-29.3078150034999
"MW"	1908	2	-27.8752049301812
"MW"	1908	3	-22.6250182310942
"MW"	1908	4	-13.9702809477945
"MW"	1908	5	-2.11297453034762
"MW"	1908	6	3.77673022937722
"MW"	1908	7	8.59427992803286
"MW"	1908	8	6.12436480500947
"MW"	1908	9	3.36583804538567
"MW"	1908	10	-2.10082243566748
"MW"	1908	11	-11.8247799273933
"MW"	1908	12	-26.4106093830772
"MW"	1909	1	-27.6942068713365
"MW"	1909	2	-28.5294089078107
"MW"	1909	3	-19.4069517716822
"MW"	1909	4	-11.3755659309375
"MW"	1909	5	-2.54828783990382
"MW"	1909	6	2.93431509695061
"MW"	1909	7	7.96363994705462
"MW"	1909	8	6.5864558490922
"MW"	1909	9	2.67210632424015
"MW"	1909	10	-1.55824869098973
"MW"	1909	11	-11.1089188838791
"MW"	1909	12	-18.9885124533629
"MW"	1910	1	-23.7784670805629
"MW"	1910	2	-28.987005513852
"MW"	1910	3	-19.3908804392622
"MW"	1910	4	-7.78290665311458
"MW"	1910	5	-1.68208052989693
"MW"	1910	6	3.79249394827334
"MW"	1910	7	7.6351107571811
"MW"	1910	8	6.84974271585737
"MW"	1910	9	1.27843853628176
"MW"	1910	10	-3.41404055133519
"MW"	1910	11	-9.19208844824156
"MW"	1910	12	-24.7619863142719
"MW"	1911	1	-31.6602341397147
"MW"	1911	2	-30.24815266764
"MW"	1911	3	-23.0766355764592
"MW"	1911	4	-10.7921006244318
"MW"	1911	5	-0.713991045212105
"MW"	1911	6	4.55133084571079
"MW"	1911	7	9.00876800199505
"MW"	1911	8	7.41428870173113
"MW"	1911	9	0.784614596928941
"MW"	1911	10	-3.96834253495143
"MW"	1911	11	-14.3744568544845
"MW"	1911	12	-18.9304516024753
"MW"	1912	1	-30.1394872326966
"MW"	1912	2	-23.7128109740187
"MW"	1912	3	-23.4641207732678
"MW"	1912	4	-13.9031405121468
"MW"	1912	5	-2.74377233344359
"MW"	1912	6	2.41082919521021
"MW"	1912	7	6.78460720644131
"MW"	1912	8	5.08003788743456
"MW"	1912	9	1.59043059854446
"MW"	1912	10	-3.02138866263919
"MW"	1912	11	-12.8564541743636
"MW"	1912	12	-24.7934209864048
"MW"	1913	1	-26.8160232847487
"MW"	1913	2	-32.2807644309171
"MW"	1913	3	-20.0530089281481
"MW"	1913	4	-9.81598254044182
"MW"	1913	5	-2.67134613710468
"MW"	1913	6	1.47089661039059
