"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	11814	"MN"
1987	2	16	109	11898	"MN"
1987	3	17	116	11995	"MN"
1987	4	18	123	11992	"MN"
1987	5	19	130	11937	"MN"
1987	6	20	137	11882	"MN"
1987	7	21	144	12819	"MN"
1987	8	22	151	13776	"MN"
1987	9	23	158	14105	"MN"
1987	10	24	165	14225	"MN"
1987	11	25	172	14326	"MN"
1987	12	26	179	14410	"MN"
1987	13	27	186	14846	"MN"
1987	14	28	193	14720	"MN"
1987	15	29	200	14074	"MN"
1987	16	30	207	14317	"MN"
1987	17	31	214	14579	"MN"
1987	18	32	221	14789	"MN"
1987	19	33	228	14789	"MN"
1987	20	34	235	14789	"MN"
1987	21	35	242	14740	"MN"
1987	22	36	249	14399	"MN"
1987	23	37	256	14048	"MN"
1987	24	38	263	13736	"MN"
1987	25	39	270	13594	"MN"
1987	26	40	277	12535	"MN"
1987	27	41	284	11598	"MN"
1987	28	42	291	11331	"MN"
1988	1	14	95	10965	"MN"
1988	2	15	102	10913	"MN"
1988	3	16	109	10862	"MN"
1988	4	17	116	10853	"MN"
1988	5	18	123	10920	"MN"
1988	6	19	130	11238	"MN"
1988	7	20	137	11386	"MN"
1988	8	21	144	11345	"MN"
1988	9	22	151	11702	"MN"
1988	10	23	158	12760	"MN"
1988	11	24	165	14352	"MN"
1988	12	25	172	13778	"MN"
1988	13	26	179	13205	"MN"
1988	14	27	186	12850	"MN"
1988	15	28	193	13293	"MN"
1988	16	29	200	13719	"MN"
1988	17	30	207	14277	"MN"
1988	18	31	214	14945	"MN"
1988	19	32	221	14835	"MN"
1988	20	33	228	14605	"MN"
1988	21	34	235	14566	"MN"
1988	22	35	242	14528	"MN"
1988	23	36	249	13610	"MN"
1988	24	37	256	11106	"MN"
1988	25	38	263	10867	"MN"
1988	26	39	270	11017	"MN"
1988	27	40	277	11224	"MN"
1988	28	41	284	9370	"MN"
1989	1	14	95	11441	"MN"
1989	2	15	102	11235	"MN"
1989	3	16	109	11325	"MN"
1989	4	17	116	11579	"MN"
1989	5	18	123	11833	"MN"
1989	6	19	130	12155	"MN"
1989	7	20	137	12787	"MN"
1989	8	21	144	13942	"MN"
1989	9	22	151	14363	"MN"
1989	10	23	158	14525	"MN"
1989	11	24	165	14442	"MN"
1989	12	25	172	14360	"MN"
1989	13	26	179	14413	"MN"
1989	14	27	186	14599	"MN"
1989	15	28	193	14785	"MN"
1989	16	29	200	14752	"MN"
1989	17	30	207	14616	"MN"
1989	18	31	214	14602	"MN"
1989	19	32	221	14586	"MN"
1989	20	33	228	14553	"MN"
1989	21	34	235	14458	"MN"
1989	22	35	242	14341	"MN"
1989	23	36	249	14215	"MN"
1989	24	37	256	14085	"MN"
1989	25	38	263	12861	"MN"
1989	26	39	270	11709	"MN"
1989	27	40	277	11221	"MN"
1989	28	41	284	10906	"MN"
1990	1	14	95	10402	"MN"
1990	2	15	102	10905	"MN"
1990	3	16	109	11276	"MN"
1990	4	17	116	11487	"MN"
1990	5	18	123	11846	"MN"
1990	6	19	130	12276	"MN"
1990	7	20	137	12742	"MN"
1990	8	21	144	13190	"MN"
1990	9	22	151	13714	"MN"
1990	10	23	158	14245	"MN"
1990	11	24	165	14688	"MN"
1990	12	25	172	14538	"MN"
1990	13	26	179	14225	"MN"
1990	14	27	186	13913	"MN"
1990	15	28	193	13927	"MN"
1990	16	29	200	13966	"MN"
1990	17	30	207	14058	"MN"
1990	18	31	214	14761	"MN"
1990	19	32	221	15140	"MN"
1990	20	33	228	15117	"MN"
1990	21	34	235	14808	"MN"
1990	22	35	242	14499	"MN"
1990	23	36	249	14200	"MN"
1990	24	37	256	14028	"MN"
1990	25	38	263	13476	"MN"
1990	26	39	270	12714	"MN"
1990	27	40	277	11952	"MN"
1990	28	41	284	11147	"MN"
1991	1	14	95	12199	"MN"
1991	2	15	102	12175	"MN"
1991	3	16	109	12144	"MN"
1991	4	17	116	12110	"MN"
1991	5	18	123	12076	"MN"
1991	6	19	130	12284	"MN"
1991	7	20	137	12706	"MN"
1991	8	21	144	12776	"MN"
1991	9	22	151	13289	"MN"
1991	10	23	158	14091	"MN"
1991	11	24	165	14158	"MN"
1991	12	25	172	14159	"MN"
1991	13	26	179	14182	"MN"
1991	14	27	186	14446	"MN"
1991	15	28	193	14710	"MN"
1991	16	29	200	14823	"MN"
1991	17	30	207	14652	"MN"
1991	18	31	214	14505	"MN"
1991	19	32	221	14408	"MN"
1991	20	33	228	14423	"MN"
1991	21	34	235	14438	"MN"
1991	22	35	242	14337	"MN"
1991	23	36	249	14080	"MN"
1991	24	37	256	13336	"MN"
1991	25	38	263	12422	"MN"
1991	26	39	270	11450	"MN"
1991	27	40	277	11450	"MN"
1991	28	41	284	11450	"MN"
1992	1	15	102	10741	"MN"
1992	2	16	109	11260	"MN"
1992	3	17	116	11087	"MN"
1992	4	18	123	11035	"MN"
1992	5	19	130	11113	"MN"
1992	6	20	137	11444	"MN"
1992	7	21	144	11904	"MN"
1992	8	22	151	12434	"MN"
1992	9	23	158	13054	"MN"
1992	10	24	165	13251	"MN"
1992	11	25	172	13305	"MN"
1992	12	26	179	13195	"MN"
1992	13	27	186	13087	"MN"
1992	14	28	193	13024	"MN"
1992	15	29	200	13040	"MN"
1992	16	30	207	13449	"MN"
1992	17	31	214	13845	"MN"
1992	18	32	221	14120	"MN"
1992	19	33	228	13842	"MN"
1992	20	34	235	13574	"MN"
1992	21	35	242	13306	"MN"
1992	22	36	249	13006	"MN"
1992	23	37	256	13013	"MN"
1992	24	38	263	13192	"MN"
1992	25	39	270	13370	"MN"
1992	26	40	277	12186	"MN"
1992	27	41	284	11027	"MN"
1992	28	42	291	10581	"MN"
1993	1	14	95	11213	"MN"
1993	2	15	102	11999	"MN"
1993	3	16	109	11987	"MN"
1993	4	17	116	11914	"MN"
1993	5	18	123	11860	"MN"
1993	6	19	130	12043	"MN"
1993	7	20	137	12221	"MN"
1993	8	21	144	12501	"MN"
1993	9	22	151	13405	"MN"
1993	10	23	158	13925	"MN"
1993	11	24	165	14187	"MN"
1993	12	25	172	14295	"MN"
1993	13	26	179	14402	"MN"
1993	14	27	186	14472	"MN"
1993	15	28	193	14474	"MN"
1993	16	29	200	14477	"MN"
1993	17	30	207	14385	"MN"
1993	18	31	214	14210	"MN"
1993	19	32	221	14302	"MN"
1993	20	33	228	14413	"MN"
1993	21	34	235	14521	"MN"
1993	22	35	242	13704	"MN"
1993	23	36	249	13248	"MN"
1993	24	37	256	13124	"MN"
1993	25	38	263	12620	"MN"
1993	26	39	270	12116	"MN"
1993	27	40	277	11469	"MN"
1993	28	41	284	10299	"MN"
1994	1	14	95	11423	"MN"
1994	2	15	102	11476	"MN"
1994	3	16	109	11530	"MN"
1994	4	17	116	11580	"MN"
1994	5	18	123	11623	"MN"
1994	6	19	130	11667	"MN"
