"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	12687	"J02"
1987	2	16	109	13175	"J02"
1987	3	17	116	13738	"J02"
1987	4	18	123	13440	"J02"
1987	5	19	130	12838	"J02"
1987	6	20	137	12796	"J02"
1987	7	21	144	13336	"J02"
1987	8	22	151	13932	"J02"
1987	9	23	158	14268	"J02"
1987	10	24	165	14363	"J02"
1987	11	25	172	14412	"J02"
1987	12	26	179	14453	"J02"
1987	13	27	186	14738	"J02"
1987	14	28	193	14945	"J02"
1987	15	29	200	15064	"J02"
1987	16	30	207	15290	"J02"
1987	17	31	214	15262	"J02"
1987	18	32	221	15083	"J02"
1987	19	33	228	14879	"J02"
1987	20	34	235	14807	"J02"
1987	21	35	242	14747	"J02"
1987	22	36	249	14330	"J02"
1987	23	37	256	13899	"J02"
1987	24	38	263	13557	"J02"
1987	25	39	270	13568	"J02"
1987	26	40	277	12765	"J02"
1987	27	41	284	11893	"J02"
1987	28	42	291	11299	"J02"
1988	1	14	95	11703	"J02"
1988	2	15	102	11900	"J02"
1988	3	16	109	12368	"J02"
1988	4	17	116	12731	"J02"
1988	5	18	123	12772	"J02"
1988	6	19	130	13166	"J02"
1988	7	20	137	13568	"J02"
1988	8	21	144	13950	"J02"
1988	9	22	151	14134	"J02"
1988	10	23	158	14322	"J02"
1988	11	24	165	14485	"J02"
1988	12	25	172	14259	"J02"
1988	13	26	179	14242	"J02"
1988	14	27	186	14341	"J02"
1988	15	28	193	14439	"J02"
1988	16	29	200	14527	"J02"
1988	17	30	207	14727	"J02"
1988	18	31	214	15091	"J02"
1988	19	32	221	14835	"J02"
1988	20	33	228	14530	"J02"
1988	21	34	235	14458	"J02"
1988	22	35	242	14386	"J02"
1988	23	36	249	14071	"J02"
1988	24	37	256	13317	"J02"
1988	25	38	263	12565	"J02"
1988	26	39	270	11985	"J02"
1988	27	40	277	11535	"J02"
1988	28	41	284	10519	"J02"
1989	1	14	95	11829	"J02"
1989	2	15	102	11781	"J02"
1989	3	16	109	11732	"J02"
1989	4	17	116	11691	"J02"
1989	5	18	123	11674	"J02"
1989	6	19	130	12439	"J02"
1989	7	20	137	13359	"J02"
1989	8	21	144	14176	"J02"
1989	9	22	151	14559	"J02"
1989	10	23	158	14722	"J02"
1989	11	24	165	14615	"J02"
1989	12	25	172	14509	"J02"
1989	13	26	179	14206	"J02"
1989	14	27	186	13752	"J02"
1989	15	28	193	13903	"J02"
1989	16	29	200	14049	"J02"
1989	17	30	207	14172	"J02"
1989	18	31	214	14169	"J02"
1989	19	32	221	14329	"J02"
1989	20	33	228	14478	"J02"
1989	21	34	235	14261	"J02"
1989	22	35	242	14097	"J02"
1989	23	36	249	13951	"J02"
1989	24	37	256	13800	"J02"
1989	25	38	263	13178	"J02"
1989	26	39	270	12678	"J02"
1989	27	40	277	12628	"J02"
1989	28	41	284	12579	"J02"
1990	1	14	95	10531	"J02"
1990	2	15	102	11171	"J02"
1990	3	16	109	11645	"J02"
1990	4	17	116	11940	"J02"
1990	5	18	123	12685	"J02"
1990	6	19	130	13019	"J02"
1990	7	20	137	13122	"J02"
