"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	12653	"J04"
1987	2	16	109	12965	"J04"
1987	3	17	116	13325	"J04"
1987	4	18	123	13252	"J04"
1987	5	19	130	13023	"J04"
1987	6	20	137	13053	"J04"
1987	7	21	144	13570	"J04"
1987	8	22	151	14080	"J04"
1987	9	23	158	14241	"J04"
1987	10	24	165	14312	"J04"
1987	11	25	172	14388	"J04"
1987	12	26	179	14452	"J04"
1987	13	27	186	14822	"J04"
1987	14	28	193	15111	"J04"
1987	15	29	200	15235	"J04"
1987	16	30	207	14632	"J04"
1987	17	31	214	14530	"J04"
1987	18	32	221	14757	"J04"
1987	19	33	228	15015	"J04"
1987	20	34	235	15107	"J04"
1987	21	35	242	15040	"J04"
1987	22	36	249	14576	"J04"
1987	23	37	256	14303	"J04"
1987	24	38	263	14135	"J04"
1987	25	39	270	13967	"J04"
1987	26	40	277	13203	"J04"
1987	27	41	284	12571	"J04"
1987	28	42	291	12470	"J04"
1988	1	14	95	11145	"J04"
1988	2	15	102	11666	"J04"
1988	3	16	109	12238	"J04"
1988	4	17	116	12630	"J04"
1988	5	18	123	12674	"J04"
1988	6	19	130	13437	"J04"
1988	7	20	137	13970	"J04"
1988	8	21	144	14216	"J04"
1988	9	22	151	14315	"J04"
1988	10	23	158	14417	"J04"
1988	11	24	165	14434	"J04"
1988	12	25	172	13301	"J04"
1988	13	26	179	13251	"J04"
1988	14	27	186	13803	"J04"
1988	15	28	193	14355	"J04"
1988	16	29	200	14543	"J04"
1988	17	30	207	14809	"J04"
1988	18	31	214	15339	"J04"
1988	19	32	221	15058	"J04"
1988	20	33	228	14742	"J04"
1988	21	34	235	14780	"J04"
1988	22	35	242	14819	"J04"
1988	23	36	249	14608	"J04"
1988	24	37	256	13947	"J04"
1988	25	38	263	13287	"J04"
1988	26	39	270	12841	"J04"
1988	27	40	277	12494	"J04"
1988	28	41	284	10639	"J04"
1989	1	14	95	12173	"J04"
1989	2	15	102	11907	"J04"
1989	3	16	109	11642	"J04"
1989	4	17	116	11449	"J04"
1989	5	18	123	11514	"J04"
1989	6	19	130	12406	"J04"
1989	7	20	137	13401	"J04"
1989	8	21	144	14176	"J04"
1989	9	22	151	14493	"J04"
1989	10	23	158	14635	"J04"
1989	11	24	165	14598	"J04"
1989	12	25	172	14562	"J04"
1989	13	26	179	14255	"J04"
1989	14	27	186	13724	"J04"
1989	15	28	193	13816	"J04"
1989	16	29	200	13905	"J04"
