"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	11944	"J05"
1987	2	16	109	11891	"J05"
1987	3	17	116	12900	"J05"
1987	4	18	123	13116	"J05"
1987	5	19	130	12998	"J05"
1987	6	20	137	13138	"J05"
1987	7	21	144	13272	"J05"
1987	8	22	151	13485	"J05"
1987	9	23	158	13897	"J05"
1987	10	24	165	13907	"J05"
1987	11	25	172	13837	"J05"
1987	12	26	179	13954	"J05"
1987	13	27	186	14072	"J05"
1987	14	28	193	14261	"J05"
1987	15	29	200	14507	"J05"
1987	16	30	207	14547	"J05"
1987	17	31	214	14559	"J05"
1987	18	32	221	14551	"J05"
1987	19	33	228	14542	"J05"
1987	20	34	235	14539	"J05"
1987	21	35	242	14491	"J05"
1987	22	36	249	14156	"J05"
1987	23	37	256	13967	"J05"
1987	24	38	263	13860	"J05"
1987	25	39	270	13752	"J05"
1987	26	40	277	13390	"J05"
1987	27	41	284	12957	"J05"
1987	28	42	291	12524	"J05"
1988	1	14	95	10585	"J05"
1988	2	15	102	11126	"J05"
1988	3	16	109	11550	"J05"
1988	4	17	116	11942	"J05"
1988	5	18	123	12334	"J05"
1988	6	19	130	12981	"J05"
1988	7	20	137	13399	"J05"
1988	8	21	144	13570	"J05"
1988	9	22	151	13750	"J05"
1988	10	23	158	13934	"J05"
1988	11	24	165	14101	"J05"
1988	12	25	172	13975	"J05"
1988	13	26	179	13990	"J05"
1988	14	27	186	14084	"J05"
1988	15	28	193	14178	"J05"
1988	16	29	200	14324	"J05"
1988	17	30	207	14496	"J05"
1988	18	31	214	14644	"J05"
1988	19	32	221	14445	"J05"
1988	20	33	228	14281	"J05"
1988	21	34	235	14357	"J05"
1988	22	35	242	14433	"J05"
1988	23	36	249	14294	"J05"
1988	24	37	256	13767	"J05"
1988	25	38	263	13241	"J05"
1988	26	39	270	12918	"J05"
1988	27	40	277	12671	"J05"
1988	28	41	284	10748	"J05"
1989	1	14	95	11024	"J05"
1989	2	15	102	10726	"J05"
