"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	12802	"J03"
1987	2	16	109	12994	"J03"
1987	3	17	116	13215	"J03"
1987	4	18	123	13102	"J03"
1987	5	19	130	12950	"J03"
1987	6	20	137	13300	"J03"
1987	7	21	144	13636	"J03"
1987	8	22	151	13963	"J03"
1987	9	23	158	14273	"J03"
1987	10	24	165	14371	"J03"
1987	11	25	172	14435	"J03"
1987	12	26	179	14488	"J03"
1987	13	27	186	15044	"J03"
1987	14	28	193	15328	"J03"
1987	15	29	200	15254	"J03"
1987	16	30	207	14613	"J03"
1987	17	31	214	14341	"J03"
1987	18	32	221	14388	"J03"
1987	19	33	228	15001	"J03"
1987	20	34	235	15220	"J03"
1987	21	35	242	15139	"J03"
1987	22	36	249	14578	"J03"
1987	23	37	256	13999	"J03"
1987	24	38	263	13541	"J03"
1987	25	39	270	13565	"J03"
1987	26	40	277	12842	"J03"
1987	27	41	284	12207	"J03"
1987	28	42	291	12098	"J03"
1988	1	14	95	11611	"J03"
1988	2	15	102	11855	"J03"
1988	3	16	109	12059	"J03"
1988	4	17	116	12370	"J03"
1988	5	18	123	12896	"J03"
1988	6	19	130	13347	"J03"
1988	7	20	137	13696	"J03"
1988	8	21	144	13950	"J03"
1988	9	22	151	14134	"J03"
1988	10	23	158	14322	"J03"
1988	11	24	165	14485	"J03"
1988	12	25	172	14259	"J03"
1988	13	26	179	14242	"J03"
1988	14	27	186	14341	"J03"
1988	15	28	193	14439	"J03"
1988	16	29	200	14527	"J03"
1988	17	30	207	14765	"J03"
1988	18	31	214	15229	"J03"
1988	19	32	221	15225	"J03"
1988	20	33	228	15101	"J03"
1988	21	34	235	15009	"J03"
1988	22	35	242	14917	"J03"
1988	23	36	249	14513	"J03"
1988	24	37	256	13547	"J03"
1988	25	38	263	12581	"J03"
1988	26	39	270	11928	"J03"
1988	27	40	277	11542	"J03"
1988	28	41	284	10567	"J03"
1989	1	14	95	11867	"J03"
1989	2	15	102	11775	"J03"
1989	3	16	109	11682	"J03"
1989	4	17	116	11619	"J03"
1989	5	18	123	11661	"J03"
1989	6	19	130	12548	"J03"
1989	7	20	137	13511	"J03"
1989	8	21	144	14195	"J03"
1989	9	22	151	14490	"J03"
1989	10	23	158	14635	"J03"
1989	11	24	165	14626	"J03"
1989	12	25	172	14617	"J03"
1989	13	26	179	13991	"J03"
